participant_id,task,input_type,input_value,timestamp,task_completion_time_in_ms
2,D,key_pressed,2,2021-05-23 20:10:01.095551,
2,D,key_pressed,=,2021-05-23 20:10:02.327416,10547.0
3,A,button_clicked,1,2021-05-23 20:13:03.919486,
3,A,button_clicked,+,2021-05-23 20:13:04.651193,
3,A,button_clicked,2,2021-05-23 20:13:05.376331,
3,A,button_clicked,+,2021-05-23 20:13:06.040150,
3,A,button_clicked,3,2021-05-23 20:13:06.512101,
3,A,button_clicked,+,2021-05-23 20:13:07.056234,
3,A,button_clicked,4,2021-05-23 20:13:07.704067,
3,A,button_clicked,+,2021-05-23 20:13:08.265483,
3,A,button_clicked,5,2021-05-23 20:13:08.953228,
3,A,button_clicked,+,2021-05-23 20:13:09.628677,
3,A,button_clicked,6,2021-05-23 20:13:10.137025,
3,A,button_clicked,+,2021-05-23 20:13:10.632453,
3,A,button_clicked,7,2021-05-23 20:13:11.352741,
3,A,button_clicked,+,2021-05-23 20:13:12.160415,
3,A,button_clicked,8,2021-05-23 20:13:13.656301,
3,A,button_clicked,+,2021-05-23 20:13:14.232273,
3,A,button_clicked,9,2021-05-23 20:13:14.832499,
3,A,button_clicked,+,2021-05-23 20:13:15.658777,
3,A,button_clicked,1,2021-05-23 20:13:16.240477,
3,A,button_clicked,0,2021-05-23 20:13:16.584898,
3,A,button_clicked,+,2021-05-23 20:13:17.160503,
3,A,button_clicked,1,2021-05-23 20:13:17.631997,
3,A,button_clicked,1,2021-05-23 20:13:17.768278,
3,A,button_clicked,+,2021-05-23 20:13:18.342684,
3,A,button_clicked,1,2021-05-23 20:13:18.822371,
3,A,button_clicked,2,2021-05-23 20:13:19.120554,
3,A,button_clicked,+,2021-05-23 20:13:19.552530,
3,A,button_clicked,1,2021-05-23 20:13:20.088356,
3,A,button_clicked,3,2021-05-23 20:13:20.559919,
3,A,button_clicked,+,2021-05-23 20:13:21.520149,
3,A,button_clicked,1,2021-05-23 20:13:22.255796,
3,A,button_clicked,4,2021-05-23 20:13:23.591984,
3,A,button_clicked,+,2021-05-23 20:13:24.368475,
3,A,button_clicked,1,2021-05-23 20:13:24.984067,
3,A,button_clicked,5,2021-05-23 20:13:25.392276,
3,A,button_clicked,+,2021-05-23 20:13:26.624205,
3,A,button_clicked,1,2021-05-23 20:13:27.520264,
3,A,button_clicked,6,2021-05-23 20:13:28.071620,
3,A,button_clicked,+,2021-05-23 20:13:28.631912,
3,A,button_clicked,1,2021-05-23 20:13:29.207988,
3,A,button_clicked,7,2021-05-23 20:13:29.824312,
3,A,button_clicked,+,2021-05-23 20:13:30.536085,
3,A,button_clicked,1,2021-05-23 20:13:31.402869,
3,A,button_clicked,8,2021-05-23 20:13:31.952863,
3,A,button_clicked,+,2021-05-23 20:13:32.672654,
3,A,button_clicked,1,2021-05-23 20:13:33.272510,
3,A,button_clicked,9,2021-05-23 20:13:33.871774,
3,A,button_clicked,+,2021-05-23 20:13:34.372250,
3,A,button_clicked,2,2021-05-23 20:13:35.200498,
3,A,button_clicked,0,2021-05-23 20:13:35.872542,
3,A,button_clicked,=,2021-05-23 20:13:36.479965,32561.0
3,C,button_clicked,(,2021-05-23 20:10:53.928722,
3,C,button_clicked,3,2021-05-23 20:10:54.448335,
3,C,button_clicked,**,2021-05-23 20:10:56.224909,
3,C,button_clicked,2,2021-05-23 20:10:57.840295,
3,C,button_clicked,+,2021-05-23 20:11:00.847825,
3,C,button_clicked,4,2021-05-23 20:11:02.552285,
3,C,button_clicked,**,2021-05-23 20:11:03.536053,
3,C,button_clicked,2,2021-05-23 20:11:04.128251,
3,C,button_clicked,),2021-05-23 20:11:05.225432,
3,C,button_clicked,*,2021-05-23 20:11:05.911850,
3,C,button_clicked,1,2021-05-23 20:11:06.698401,
3,C,button_clicked,5,2021-05-23 20:11:07.104753,
3,C,button_clicked,.,2021-05-23 20:11:07.687815,
3,C,button_clicked,2,2021-05-23 20:11:08.064697,
3,C,button_clicked,=,2021-05-23 20:11:09.112039,15183.0
3,B,key_pressed,1,2021-05-23 20:12:13.414454,
3,B,key_pressed,+,2021-05-23 20:12:13.599807,
3,B,key_pressed,2,2021-05-23 20:12:13.775144,
3,B,key_pressed,+,2021-05-23 20:12:13.911734,
3,B,key_pressed,3,2021-05-23 20:12:14.079974,
3,B,key_pressed,+,2021-05-23 20:12:14.240176,
3,B,key_pressed,1,2021-05-23 20:12:14.407965,
3,B,key_pressed,delete,2021-05-23 20:12:16.695855,
3,B,key_pressed,4,2021-05-23 20:12:17.907882,
3,B,key_pressed,+,2021-05-23 20:12:18.167942,
3,B,key_pressed,5,2021-05-23 20:12:18.351611,
3,B,key_pressed,+,2021-05-23 20:12:18.519755,
3,B,key_pressed,6,2021-05-23 20:12:18.687843,
3,B,key_pressed,+,2021-05-23 20:12:18.847918,
3,B,key_pressed,7,2021-05-23 20:12:19.055832,
3,B,key_pressed,+,2021-05-23 20:12:19.199717,
3,B,key_pressed,8,2021-05-23 20:12:19.375640,
3,B,key_pressed,+,2021-05-23 20:12:19.504834,
3,B,key_pressed,9,2021-05-23 20:12:19.703738,
3,B,key_pressed,+,2021-05-23 20:12:19.831918,
3,B,key_pressed,1,2021-05-23 20:12:20.359736,
3,B,key_pressed,0,2021-05-23 20:12:20.559599,
3,B,key_pressed,+,2021-05-23 20:12:21.143501,
3,B,key_pressed,1,2021-05-23 20:12:21.471821,
3,B,key_pressed,1,2021-05-23 20:12:21.611997,
3,B,key_pressed,+,2021-05-23 20:12:21.691710,
3,B,key_pressed,1,2021-05-23 20:12:21.860040,
3,B,key_pressed,2,2021-05-23 20:12:22.039903,
3,B,key_pressed,+,2021-05-23 20:12:22.196129,
3,B,key_pressed,1,2021-05-23 20:12:22.359792,
3,B,key_pressed,2,2021-05-23 20:12:22.551542,
3,B,key_pressed,delete,2021-05-23 20:12:23.619937,
3,B,key_pressed,3,2021-05-23 20:12:23.868085,
3,B,key_pressed,+,2021-05-23 20:12:24.212017,
3,B,key_pressed,1,2021-05-23 20:12:24.428037,
3,B,key_pressed,4,2021-05-23 20:12:24.692218,
3,B,key_pressed,+,2021-05-23 20:12:25.204083,
3,B,key_pressed,1,2021-05-23 20:12:25.435969,
3,B,key_pressed,5,2021-05-23 20:12:25.651978,
3,B,key_pressed,+,2021-05-23 20:12:25.803798,
3,B,key_pressed,1,2021-05-23 20:12:26.011788,
3,B,key_pressed,6,2021-05-23 20:12:26.331885,
3,B,key_pressed,+,2021-05-23 20:12:26.539965,
3,B,key_pressed,1,2021-05-23 20:12:26.764010,
3,B,key_pressed,7,2021-05-23 20:12:27.012023,
3,B,key_pressed,+,2021-05-23 20:12:27.203964,
3,B,key_pressed,1,2021-05-23 20:12:27.523864,
3,B,key_pressed,8,2021-05-23 20:12:27.787888,
3,B,key_pressed,+,2021-05-23 20:12:27.956098,
3,B,key_pressed,1,2021-05-23 20:12:28.163801,
3,B,key_pressed,9,2021-05-23 20:12:28.331784,
3,B,key_pressed,+,2021-05-23 20:12:28.683750,
